tconst	averageRating	numVotes
tt0000001	5.6	1692
tt0000002	6.0	210
tt0000003	6.5	1436
tt0000004	6.1	122
tt0000005	6.1	2235
tt0000006	5.3	123
tt0000007	5.4	684
tt0000008	5.4	1868
tt0000009	6.0	155
tt0000010	6.9	6253
tt0000011	5.2	280
tt0000012	7.4	10748
tt0000013	5.7	1619
tt0000014	7.1	4786
tt0000015	6.1	869
tt0000016	5.9	1245
tt0000017	4.6	253
tt0000018	5.3	497
tt0000019	5.3	19
tt0000020	5.0	280
tt0000022	5.1	922
tt0000023	5.7	1188
tt0000024	4.4	60
tt0000025	4.2	29
tt0000026	5.7	1342
tt0000027	5.6	956
tt0000028	5.2	886
tt0000029	6.0	2954
tt0000030	5.2	712
tt0000031	5.5	862
tt0000032	5.1	352
tt0000033	5.6	878
tt0000034	5.1	146
tt0000035	5.5	56
tt0000036	4.4	510
tt0000037	4.5	40
tt0000038	4.2	154
tt0000039	3.7	13
tt0000040	4.3	40
tt0000041	6.7	1539
tt0000042	4.5	20
tt0000043	3.5	11
tt0000044	4.4	28
tt0000045	4.5	15
tt0000046	4.2	15
tt0000047	3.6	14
tt0000048	4.8	137
tt0000049	5.3	26
tt0000050	4.2	13
tt0000051	3.7	14
tt0000052	4.4	68
tt0000053	2.8	8
tt0000054	5.3	17
tt0000055	3.7	15
tt0000056	3.2	11
tt0000057	4.4	13
tt0000058	4.3	12
tt0000059	3.5	12
tt0000060	7.7	60
tt0000061	4.1	13
tt0000062	6.5	159
tt0000063	3.5	11
tt0000064	3.2	11
tt0000065	3.4	11
tt0000066	3.4	11
tt0000067	5.9	40
tt0000068	3.6	11
tt0000069	4.8	368
tt0000070	6.4	2337
tt0000071	3.5	13
tt0000072	4.2	12
tt0000073	3.6	11
tt0000074	4.6	14
tt0000075	6.3	1636
tt0000076	4.5	450
tt0000077	4.8	17
tt0000078	3.9	56
tt0000079	4.4	16
tt0000080	4.1	12
tt0000081	4.2	13
tt0000082	4.8	24
tt0000083	4.5	19
tt0000084	4.4	16
tt0000085	4.7	15
tt0000086	4.2	13
tt0000087	4.8	17
tt0000088	4.7	14
tt0000089	6.2	863
tt0000090	4.0	13
tt0000091	6.7	2966
tt0000092	4.6	11
tt0000093	4.9	69
tt0000094	4.4	14
tt0000095	4.8	19
tt0000096	4.5	10
tt0000097	4.9	16
tt0000098	5.5	18
tt0000099	4.7	13
tt0000100	5.0	32
tt0000101	4.6	11
tt0000102	4.8	12
tt0000103	5.8	14
tt0000104	5.5	401
tt0000105	5.5	12
tt0000106	4.6	10
tt0000107	5.7	12
tt0000108	4.4	462
tt0000109	4.5	451
tt0000110	4.4	455
tt0000111	4.5	467
tt0000112	4.5	451
tt0000113	4.3	469
tt0000114	5.5	13
tt0000115	5.3	15
tt0000116	5.6	13
tt0000117	5.2	130
tt0000118	5.6	14
tt0000119	5.6	30
tt0000120	5.5	30
tt0000121	4.4	58
tt0000122	5.5	13
tt0000123	5.7	79
tt0000124	5.6	14
tt0000125	4.7	7
tt0000126	5.8	15
tt0000127	4.5	13
tt0000128	5.9	24
tt0000129	6.7	34
tt0000130	5.5	14
tt0000131	5.8	1145
tt0000132	5.1	904
tt0000133	6.5	21
tt0000134	4.6	8
tt0000135	6.7	51
tt0000137	4.8	16
tt0000138	6.5	923
tt0000139	5.4	15
tt0000140	5.0	234
tt0000141	5.4	68
tt0000142	4.7	10
tt0000143	4.9	207
tt0000144	5.1	242
tt0000145	3.8	6
tt0000146	5.1	17
tt0000147	5.2	367
tt0000148	3.7	6
tt0000149	4.8	8
tt0000150	5.3	121
tt0000151	5.1	36
tt0000152	6.1	189
tt0000153	5.7	355
tt0000154	4.1	7
